sample-id	mouse-id	Sex	Strain	Animal_source	age	Unit_age	light_cycle	diet	feeding_schedule	Protocol REF	ionizing_radiation	dose	Unit	Time_of_Sample_Collection_After_Treatment	Unit_time	Time_of_Collection_categorical	dose_categorical
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep1_10dM1	Mouse 1	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep2_10dM2	Mouse 2	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep3_10dM3	Mouse 3	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep4_10dM4	Mouse 4	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep5_10dM5	Mouse 5	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep6_10dM6	Mouse 6	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep7_10dM7	Mouse 7	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep8_10dM8	Mouse 8	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep9_10dM9	Mouse 9	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.1Gy_10d-post-IR_Rep10_10dM10	Mouse 10	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.1	gray	10	day	10_days	0.1_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep1_10dM11	Mouse 11	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep2_10dM12	Mouse 12	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep3_10dM13	Mouse 13	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep4_10dM14	Mouse 14	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep5_10dM15	Mouse 15	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep6_10dM16	Mouse 16	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep7_10dM17	Mouse 17	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep8_10dM18	Mouse 18	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep9_10dM19	Mouse 19	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_0.25Gy_10d-post-IR_Rep10_10dM20	Mouse 20	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	0.25	gray	10	day	10_days	0.25_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep1_10dM21	Mouse 21	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep2_10dM22	Mouse 22	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep3_10dM23	Mouse 23	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep4_10dM24	Mouse 24	male	C57BL/6J	Jackson Laboratory	6	month	12h light/dark	"soy-free rodent diet 2020X, Harlan Teklad"	ad libitum	sample collection	Irradiated with 16 O	1	gray	10	day	10_days	1_dose
