feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Dubosiella	Time_of_Collection_categorical	30_days	-0.213000402442955	0.0384002985945903	20	20	2.8881180243721e-05	0.00120692599892485
Clostridium_sensu_stricto_1	Time_of_Collection_categorical	30_days	-0.0520674783113364	0.00949676625869315	20	20	3.30664657239686e-05	0.00120692599892485
Bifidobacterium	Time_of_Collection_categorical	30_days	-0.0824032223403337	0.0167660622278596	20	20	0.000111659829484745	0.00271705585079547
Lactobacillus	Time_of_Collection_categorical	30_days	-0.104116888458462	0.0306008000653916	20	20	0.00317442314932287	0.0579332224751424
uncultured.4	Time_of_Collection_categorical	30_days	0.0254765901229162	0.00787354697929098	20	20	0.0045874453626961	0.066976702295363
Muribaculaceae	Time_of_Collection_categorical	30_days	0.186238938398583	0.0612841860371495	20	20	0.00706069685622381	0.0704659877292203
X.Eubacterium._brachy_group	Time_of_Collection_categorical	30_days	-0.0081091694899948	0.00268915764191388	20	15	0.00743047350389011	0.0704659877292203
uncultured.2	Time_of_Collection_categorical	30_days	0.0426439738782478	0.0142250994789182	20	20	0.00772230002512003	0.0704659877292203
Akkermansia	Time_of_Collection_categorical	30_days	-0.185269056033823	0.0714131889704316	20	20	0.018316521123039	0.148567337997983
ASF356	Time_of_Collection_categorical	30_days	0.0179311477557624	0.00738349611194679	20	16	0.0258633105724516	0.188802167178896
Lachnospiraceae_UCG.001	Time_of_Collection_categorical	30_days	0.0735193694171119	0.0318955854639358	20	18	0.0332893439789971	0.220920191860617
Monoglobus	Time_of_Collection_categorical	30_days	-0.0112523486101563	0.00536917176654447	20	19	0.0505107549300164	0.283637316145477
Dorea	Time_of_Collection_categorical	30_days	0.0171652837577142	0.00813895126006738	20	10	0.0492114840877835	0.283637316145477
Romboutsia	Time_of_Collection_categorical	30_days	-0.0393935966061038	0.0203452444978507	20	19	0.0686989200474794	0.334643475178199
Erysipelatoclostridiaceae	Time_of_Collection_categorical	30_days	0.00485550100362503	0.00255331441159962	20	3	0.0733465151075504	0.334643475178199
Ileibacterium	Time_of_Collection_categorical	30_days	0.0266587334558388	0.0139939707596667	20	5	0.0728821017623736	0.334643475178199
UBA1819	Time_of_Collection_categorical	30_days	-0.00811756743952997	0.00447819097731023	20	12	0.0865930576530716	0.351182956037457
NK4A214_group	Time_of_Collection_categorical	30_days	-0.00636157486275991	0.00347143843206007	20	19	0.0834662427524133	0.351182956037457
Marvinbryantia	Time_of_Collection_categorical	30_days	0.00831634606906408	0.00473491224045977	20	7	0.0960213627934839	0.368924183364438
Turicibacter	Time_of_Collection_categorical	30_days	0.0225393070313386	0.0138108495944473	20	20	0.120050598358655	0.438184684009091
Oscillibacter	Time_of_Collection_categorical	30_days	0.0225537353737488	0.0143172127110698	20	20	0.132602224742354	0.460950590771042
Lachnospiraceae_NK4A136_group	Time_of_Collection_categorical	30_days	0.0722114905054392	0.0468162492420796	20	20	0.140363070592903	0.465750188785541
Family_XIII_UCG.001	Time_of_Collection_categorical	30_days	-0.0043972276397779	0.00304587371524855	20	18	0.166012440761964	0.52690905111406
Paludicola	Time_of_Collection_categorical	30_days	-0.00368979998179269	0.00276628090003145	20	14	0.198886284648069	0.558411491511886
uncultured.6	Time_of_Collection_categorical	30_days	0.00414828695649094	0.00300813747239691	20	4	0.184784142367284	0.558411491511886
Lachnospiraceae_UCG.004	Time_of_Collection_categorical	30_days	0.00599185592564493	0.00446562352473397	20	14	0.196352204230849	0.558411491511886
Incertae_Sedis	Time_of_Collection_categorical	30_days	0.0145235739543434	0.0121951696114069	20	20	0.24915022593434	0.67362838863729
uncultured	Time_of_Collection_categorical	30_days	0.00987543737798439	0.00867041270492802	20	13	0.269642853341264	0.702997439068295
DNF00809	Time_of_Collection_categorical	30_days	-0.00238431323072606	0.00219620361977473	20	4	0.291959235636879	0.720224029779521
Lachnospiraceae_FCS020_group	Time_of_Collection_categorical	30_days	0.00550969567518973	0.00511882863529622	20	19	0.295982477991584	0.720224029779521
Bacteroides	Time_of_Collection_categorical	30_days	0.00281497222066278	0.0027625342297112	20	16	0.321712945070204	0.757582096455642
Enterorhabdus	Time_of_Collection_categorical	30_days	-0.00348148381090363	0.00424940977608057	20	18	0.423338631752225	0.801707743434269
Candidatus_Arthromitus	Time_of_Collection_categorical	30_days	-0.00381280699695337	0.00454117816491251	20	18	0.412141659300484	0.801707743434269
Clostridia_UCG.014	Time_of_Collection_categorical	30_days	0.0185083172660833	0.0234011849640006	20	20	0.439291914210559	0.801707743434269
Oscillospira	Time_of_Collection_categorical	30_days	0.00309067463298878	0.003762412898576	20	3	0.422131400352016	0.801707743434269
UCG.010	Time_of_Collection_categorical	30_days	-0.00480431862467783	0.00596430413114377	20	19	0.431037268801227	0.801707743434269
Lachnospiraceae_NK4B4_group	Time_of_Collection_categorical	30_days	-0.00307955117174968	0.00366108709014892	20	6	0.411295410019107	0.801707743434269
A2	Time_of_Collection_categorical	30_days	-0.0102118030897467	0.0122497825085242	20	18	0.415414576678465	0.801707743434269
uncultured.7	Time_of_Collection_categorical	30_days	0.0243700535873059	0.0279190235712144	20	20	0.394222255823337	0.801707743434269
Blautia	Time_of_Collection_categorical	30_days	0.0105289963695985	0.0125667041698711	20	19	0.413103162807025	0.801707743434269
Candidatus_Soleaferrea	Time_of_Collection_categorical	30_days	0.000737488153457945	0.000962733962204354	20	3	0.453584497092048	0.807601665554134
X.Eubacterium._ventriosum_group	Time_of_Collection_categorical	30_days	0.00853080451580628	0.0117169904809734	20	20	0.475935438583166	0.82722111944217
Ruminococcaceae	Time_of_Collection_categorical	30_days	-0.00343717719082017	0.00513124028984074	20	19	0.511453901999533	0.868282205720138
Anaeroplasma	Time_of_Collection_categorical	30_days	-0.00803596123800325	0.0180802073548272	20	20	0.662006480537208	0.940360217714629
RF39	Time_of_Collection_categorical	30_days	-0.0044317670595031	0.0112168582333999	20	20	0.697412901411302	0.940360217714629
X.Eubacterium._nodatum_group	Time_of_Collection_categorical	30_days	-0.0017728180212046	0.00348517029791253	20	19	0.617158356509893	0.940360217714629
Enterococcus	Time_of_Collection_categorical	30_days	0.00214625689440364	0.00454975849606212	20	7	0.642787388693802	0.940360217714629
Candidatus_Stoquefichus	Time_of_Collection_categorical	30_days	-0.00116160522746009	0.00334695266242383	20	7	0.732568301606815	0.940360217714629
Tuzzerella	Time_of_Collection_categorical	30_days	0.00188480075421043	0.00526243349030695	20	20	0.724388380547995	0.940360217714629
Ruminococcus	Time_of_Collection_categorical	30_days	-0.0139442939825017	0.0244748799917638	20	20	0.575897076389768	0.940360217714629
Anaerotruncus	Time_of_Collection_categorical	30_days	0.0027196628094884	0.00547113549011281	20	18	0.625140557117152	0.940360217714629
X.Eubacterium._coprostanoligenes_group	Time_of_Collection_categorical	30_days	0.00678299577475072	0.0148985777025178	20	20	0.654353011117497	0.940360217714629
UCG.009	Time_of_Collection_categorical	30_days	0.00186964663614229	0.00503838158107929	20	19	0.714908821609362	0.940360217714629
Intestinimonas	Time_of_Collection_categorical	30_days	-0.00214147740177739	0.00606618014341272	20	19	0.728174472950325	0.940360217714629
Roseburia	Time_of_Collection_categorical	30_days	-0.0195376710864167	0.0399907498619009	20	19	0.631055875608141	0.940360217714629
Lachnospiraceae_UCG.006	Time_of_Collection_categorical	30_days	-0.00274265633413832	0.00795474827751624	20	19	0.734253868626491	0.940360217714629
GCA.900066575	Time_of_Collection_categorical	30_days	0.00342214264534686	0.00814882195076426	20	20	0.679488146407312	0.940360217714629
Family_XIII_AD3011_group	Time_of_Collection_categorical	30_days	-0.000611888155214296	0.00196229587949217	20	12	0.758758345208318	0.95498895172771
Parasutterella	Time_of_Collection_categorical	30_days	-0.000172867480083091	0.00200652227206989	20	4	0.932296070320772	0.958557931456569
Erysipelatoclostridium	Time_of_Collection_categorical	30_days	0.00149987834815156	0.00762033142078006	20	9	0.846169127222449	0.958557931456569
Clostridia_vadinBB60_group	Time_of_Collection_categorical	30_days	-0.00148547911247883	0.0102725294712893	20	19	0.886628040625321	0.958557931456569
uncultured.1	Time_of_Collection_categorical	30_days	0.000462497252693586	0.00439776199647815	20	14	0.917406758829032	0.958557931456569
Christensenellaceae_R.7_group	Time_of_Collection_categorical	30_days	-0.00230728535614871	0.0104944270887737	20	9	0.828455746257049	0.958557931456569
Peptococcus	Time_of_Collection_categorical	30_days	-0.000483036951576944	0.00560518438685654	20	6	0.93227723278901	0.958557931456569
uncultured.3	Time_of_Collection_categorical	30_days	0.00146916088570554	0.00557830909001619	20	16	0.795256440012844	0.958557931456569
Harryflintia	Time_of_Collection_categorical	30_days	-0.00159478429162463	0.00555297405698606	20	17	0.77724332019943	0.958557931456569
uncultured.5	Time_of_Collection_categorical	30_days	-0.00183696636135518	0.0189033360721011	20	20	0.923659830430834	0.958557931456569
Colidextribacter	Time_of_Collection_categorical	30_days	0.00214823802654969	0.0146339535978398	20	20	0.884922977067845	0.958557931456569
Lachnoclostridium	Time_of_Collection_categorical	30_days	0.00126531697939793	0.0107011565361621	20	20	0.907186103501748	0.958557931456569
X.Eubacterium._xylanophilum_group	Time_of_Collection_categorical	30_days	0.00268400564656463	0.0153062110040413	20	19	0.862758976079661	0.958557931456569
Acetatifactor	Time_of_Collection_categorical	30_days	-0.0015260167510986	0.0112039238098702	20	20	0.893171944176067	0.958557931456569
UCG.005	Time_of_Collection_categorical	30_days	-0.000201247132584048	0.00577889482464482	20	20	0.972602966081536	0.986111340610446
X.Eubacterium._fissicatena_group	Time_of_Collection_categorical	30_days	-6.74809941584333e-05	0.0137526544602933	20	6	0.996138959239638	0.996138959239638
