feature	Parasutterella	Bifidobacterium	DNF00809	Enterorhabdus	Muribaculaceae	Bacteroides	Anaeroplasma	RF39	Romboutsia	Family_XIII_AD3011_group	X.Eubacterium._nodatum_group	Family_XIII_UCG.001	X.Eubacterium._brachy_group	Turicibacter	Enterococcus	Lactobacillus	Erysipelatoclostridium	Erysipelatoclostridiaceae	Candidatus_Stoquefichus	Ileibacterium	Dubosiella	uncultured	Candidatus_Arthromitus	Clostridia_vadinBB60_group	uncultured.1	Christensenellaceae_R.7_group	Clostridium_sensu_stricto_1	uncultured.2	Peptococcus	Akkermansia	ASF356	Tuzzerella	Clostridia_UCG.014	Ruminococcus	Ruminococcaceae	uncultured.3	Anaerotruncus	uncultured.4	Harryflintia	Paludicola	Candidatus_Soleaferrea	UBA1819	Incertae_Sedis	X.Eubacterium._coprostanoligenes_group	Oscillibacter	Oscillospira	uncultured.5	uncultured.6	Monoglobus	UCG.005	UCG.009	Intestinimonas	Colidextribacter	NK4A214_group	UCG.010	Lachnoclostridium	Lachnospiraceae_NK4B4_group	Roseburia	A2	Lachnospiraceae_UCG.001	Lachnospiraceae_UCG.006	Dorea	uncultured.7	X.Eubacterium._ventriosum_group	X.Eubacterium._fissicatena_group	Marvinbryantia	GCA.900066575	X.Eubacterium._xylanophilum_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_FCS020_group	Lachnospiraceae_UCG.004	Acetatifactor	Blautia
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep1_10dM21	0	1266	18	9	40879	16	11	790	2168	0	38	25	12	1726	0	2899	176	0	0	0	2963	0	33	157	49	0	1928	71	0	17310	0	82	2894	1171	60	72	0	151	38	11	0	17	254	949	723	0	2040	0	85	84	64	42	751	107	24	375	0	154	90	530	38	0	437	670	0	0	197	186	5439	25	10	70	0
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep10_10dM30	0	1861	8	9	17977	0	20	300	686	2	30	12	28	1204	0	3583	30	0	0	0	20003	12	90	65	41	0	1343	22	68	26916	4	29	5076	1415	25	0	11	133	13	20	0	0	435	20	539	0	1610	0	40	109	46	118	1138	37	42	212	0	2749	0	2236	24	80	1074	95	32	0	187	12	6081	49	9	103	57
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep2_10dM22	0	3245	17	33	33403	20	156	976	2767	2	73	19	27	2509	30	2420	104	0	0	0	6985	0	0	465	37	0	1519	62	0	24144	0	82	6079	2263	128	90	11	212	58	28	0	23	415	1923	815	0	2765	0	61	102	112	95	672	101	41	681	15	538	170	2143	117	0	800	1030	0	0	399	578	7073	169	0	111	356
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep3_10dM23	0	2868	0	58	25050	23	889	1339	423	11	73	45	19	588	0	6645	0	0	23	0	9420	64	82	319	0	198	1093	62	0	2036	19	174	2432	2544	196	92	38	301	18	0	0	66	473	237	1304	0	3377	9	175	276	109	155	2248	115	286	604	21	155	568	161	189	0	1365	809	0	23	595	1407	7083	45	25	481	26
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep4_10dM24	0	348	0	10	17533	0	990	448	103	2	20	24	6	664	0	990	0	0	0	0	876	27	34	392	2	135	514	76	0	311	13	129	838	1579	54	23	60	408	133	7	0	33	518	153	1715	0	4051	0	30	224	116	203	2186	34	80	602	42	384	563	206	328	0	1704	299	0	0	698	267	15571	20	0	676	207
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep5_10dM25	10	4016	0	89	42507	0	484	803	597	0	41	19	9	1141	55	12345	0	0	11	0	14473	39	124	342	0	98	1422	46	0	379	86	99	1005	1370	76	80	107	245	6	9	0	38	336	121	669	0	2979	0	80	160	112	87	1264	116	159	862	6	58	517	0	155	0	733	214	0	0	341	447	9568	36	21	19	8
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep6_10dM26	0	2986	0	77	54023	28	450	399	239	0	69	48	15	855	0	10497	0	0	11	0	10750	37	146	510	2	209	877	61	0	2162	26	206	1486	2798	166	106	83	286	95	16	0	60	722	161	946	0	2926	0	137	127	86	49	1556	91	213	516	0	182	358	173	94	0	1270	522	0	0	379	2364	8183	56	18	259	35
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep7_10dM27	12	4343	0	117	22008	6	438	827	366	6	60	20	16	765	32	10242	0	0	23	0	15648	43	128	510	0	92	1097	67	0	178	93	112	1032	1475	81	34	145	272	71	6	0	32	404	84	932	0	3596	0	100	171	137	92	1317	90	169	1097	0	59	613	0	194	0	796	288	0	0	380	581	10869	44	16	20	16
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep8_10dM28	0	1752	0	0	17041	16	99	412	1492	5	35	9	5	1238	0	5724	78	0	0	0	8694	19	43	426	23	0	2275	31	25	21783	5	43	3356	3098	33	0	21	109	10	12	0	7	108	19	381	0	821	0	123	27	34	48	433	56	52	164	0	1123	38	524	0	50	707	118	984	17	133	570	5177	19	0	58	142
16S_FCS_Mmus_C57-6J_1Gy_10d-post-IR_Rep9_10dM29	0	1091	0	22	16661	15	14	341	471	3	18	63	44	832	0	2412	0	0	0	0	8803	0	64	78	65	0	876	31	90	11210	0	39	2406	918	54	4	33	439	0	4	2	0	265	17	1108	23	2519	0	238	166	0	118	1425	95	54	409	0	12324	106	530	47	34	5649	20	51	0	225	0	7374	53	39	89	496
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep1_30dM21	9	1183	0	37	58702	24	1211	1613	0	0	15	0	47	2018	44	2464	81	36	0	0	748	88	58	407	24	0	528	986	0	755	128	30	2723	674	199	39	76	759	28	27	0	0	767	289	762	0	3065	0	52	261	105	97	2354	49	181	804	23	727	242	1278	56	127	2263	735	533	81	544	693	15496	112	84	329	211
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep10_30dM30	0	206	0	25	23877	16	76	147	9	8	27	21	0	1262	0	972	22	0	0	68	483	66	75	129	0	0	306	61	69	350	220	40	1071	2296	124	0	125	765	23	0	0	58	371	58	1353	69	2209	26	33	133	69	112	1693	70	54	144	0	690	184	3267	168	126	4662	65	0	0	385	325	21684	188	45	267	8
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep2_30dM22	0	458	0	57	52470	8	333	684	132	3	37	28	0	2859	0	2289	23	0	0	2100	840	232	40	764	32	0	1028	2660	0	132	29	181	5169	2080	37	84	67	774	100	10	4	27	403	1091	1849	0	2024	0	53	99	28	70	1336	101	62	482	0	542	201	2514	60	38	1502	382	205	16	279	538	14326	148	84	238	28
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep3_30dM23	0	315	13	33	27688	21	1608	552	1436	0	54	51	14	2393	31	332	98	0	43	166	371	186	58	515	0	0	533	57	0	8131	297	48	6791	1663	35	77	135	1003	58	38	0	0	2658	728	1867	0	3973	48	21	379	176	321	1598	80	193	354	28	852	662	288	53	445	2320	384	0	21	389	842	19687	34	42	512	42
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep4_30dM24	0	492	0	13	52408	15	39	351	349	7	47	12	0	646	0	1110	0	0	4	0	667	0	50	294	29	140	208	775	0	553	22	147	1646	776	97	66	32	483	38	0	0	0	417	258	1283	0	3179	0	56	83	50	149	1090	41	96	1298	0	93	167	673	30	0	1406	893	0	0	465	685	7618	51	37	93	513
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep5_30dM25	0	1022	0	49	50413	23	20	482	402	0	35	25	1	1091	0	1403	0	0	0	0	3550	0	47	241	33	346	295	392	0	394	25	221	1346	200	97	61	86	512	85	8	0	0	376	54	1700	0	3644	10	45	229	171	59	1804	44	93	1176	0	567	92	835	24	11	908	220	0	0	389	634	14969	57	48	39	891
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep6_30dM26	0	47	0	0	4353	0	5	57	29	0	0	0	0	143	0	80	0	0	0	0	136	0	0	0	0	14	26	56	0	92	0	24	268	140	0	8	0	28	0	0	0	0	62	19	198	0	346	0	0	10	11	0	109	0	0	59	0	0	0	78	24	0	75	82	0	0	64	47	1067	0	0	9	38
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep7_30dM27	0	873	0	5	77817	8	33	1841	1949	6	60	18	0	2173	35	3357	0	0	21	0	3701	18	69	197	21	154	764	477	0	318	20	100	2877	385	39	104	24	188	0	0	0	0	113	98	393	0	1021	0	28	44	35	53	463	52	62	463	0	361	136	589	58	0	338	357	0	0	171	368	2909	22	0	21	125
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep8_30dM28	0	19	0	19	20769	17	143	251	9	0	40	32	8	349	0	2292	0	10	0	9	60	0	64	319	22	0	94	53	38	1806	142	113	2504	6648	96	27	46	661	45	0	3	22	497	380	2078	0	2733	0	52	122	42	99	1481	76	38	383	0	772	263	9163	165	79	5159	331	121	77	438	321	16863	130	16	120	98
16S_FCS_Mmus_C57-6J_1Gy_30d-post-IR_Rep9_30dM29	12	726	0	22	49943	31	64	425	19	10	148	12	7	3703	58	4224	210	35	0	160	1488	504	78	800	44	0	560	38	37	1023	243	56	6569	1700	46	0	35	447	19	9	0	10	569	326	996	27	1687	0	264	103	117	116	1031	81	121	372	0	3969	80	2639	74	146	1753	691	0	80	277	238	7088	127	0	45	26
